"Country.Name","Program.Name","FY1960","FY1961","FY1962","FY1963","FY1964","FY1965","FY1966","FY1967","FY1968","FY1969"
"Afghanistan","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Economic Support Fund/Security Support Assistance",NA,NA,181177853,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other USAID Assistance",62115298,75397353,43692408,100108480,126223505,60327108,60175516,134117723,44036908,43078575
"Afghanistan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Peace Corps",NA,NA,5826,1726008,3411446,7261596,8205752,6891424,8192913,7832468
"Afghanistan","Title I",NA,NA,NA,NA,NA,3351506,NA,10072082,31747538,17133524
"Afghanistan","Title II",597262,110150821,4660524,575336,108597701,118978464,113786431,22264602,NA,7342939
"Albania","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
