"Country.Name","Program.Name","FY1950","FY1951","FY1952","FY1953","FY1954","FY1955","FY1956","FY1957","FY1958","FY1959"
"Afghanistan","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Inactive Programs",7658,726780,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other USAID Assistance",NA,NA,2095480,15092109,16951554,13454655,119990631,91039091,49098731,117317283
"Afghanistan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Title II",NA,NA,NA,NA,NA,NA,6557,41726250,38051517,45959348
"Albania","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
