"Country.Name","Program.Name","FY1990","FY1991","FY1992","FY1993","FY1994","FY1995","FY1996","FY1997","FY1998","FY1999"
"Afghanistan","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Economic Support Fund/Security Support Assistance",NA,NA,NA,14178135,2769948,NA,NA,NA,NA,NA
"Afghanistan","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,1333853,3230123,7468497,3672225
"Afghanistan","Narcotics Control",NA,NA,481136,141781,138845,156354,400156,353654,651867,1335189
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,1309829,2845449,3337972
"Afghanistan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,1793807
"Afghanistan","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,26833237
"Afghanistan","Other State Assistance",214592,84858,88900,34028,33323,65261,64025,128363,62083,74035
"Afghanistan","Other USAID Assistance",NA,NA,NA,14178135,476237,NA,NA,NA,NA,NA
"Afghanistan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Title II",23277190,29862828,45215212,25520642,NA,16846039,20274562,37619084,NA,8117974
"Albania","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Department of Defense Security Assistance",NA,NA,NA,NA,6354061,7667931,1494826,2839143,NA,NA
