"Country.Name","Program.Name","FY1970","FY1971","FY1972","FY1973","FY1974","FY1975","FY1976","FY1977","FY1978","FY1979"
"Afghanistan","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,61745
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other USAID Assistance",31592317,38933439,40553986,109691415,47212322,55378618,24729283,59373672,13867750,7908531
"Afghanistan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Peace Corps",4181336,4866680,5491686,5666715,5665479,4102120,3488587,2213531,2193156,830988
"Afghanistan","Title I",NA,13272763,25768679,26309749,NA,NA,NA,NA,14176293,NA
"Afghanistan","Title II",3716743,3539404,78995786,14571553,377699,13331889,5711257,2183859,1784545,18510697
"Albania","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
