"Country.Name","Program.Name","FY1980","FY1981","FY1982","FY1983","FY1984","FY1985","FY1986","FY1987","FY1988","FY1989"
"Afghanistan","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Development Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Economic Support Fund/Security Support Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Food For Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Global Health and Child Survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Inactive Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Migration and Refugee Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Narcotics Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Nonproliferation, Anti-Terrorism, Demining and Related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Active Grant Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other Food Aid Programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other State Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Other USAID Assistance",NA,NA,NA,NA,NA,6070747,NA,NA,NA,NA
"Afghanistan","Other USDA Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Peace Corps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Title I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Title II",NA,NA,NA,NA,NA,NA,15669028,4427812,48115050,91816151
"Albania","Child Survival and Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","Department of Defense Security Assistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
